indicatorId,geoUnit,year,value,qualifier,magnitude
CR.2,SVN,2012,98.15,,
CR.2,SVN,2013,98.98,,
CR.2,SVN,2014,99.5,,
CR.2,SVN,2015,99.57000000000001,,
CR.2,SVN,2016,99.39,,
CR.2,SVN,2017,99.22999999999999,,
CR.2,SVN,2018,98.97,,
CR.2,SVN,2019,98.75,,
CR.2,SVN,2020,99.33999999999999,,
CR.2,SVN,2021,99.33,,
CR.2,SWE,2006,99.75,,
CR.2,SWE,2007,99.61,,
CR.2,SWE,2008,99.75,,
CR.2,SWE,2009,99.76,,
CR.2,SWE,2010,99.35000000000001,,
CR.2,SWE,2011,99.14,,
CR.2,SWE,2012,99.19,,
CR.2,SWE,2013,98.74000000000001,,
CR.2,SWE,2014,98.06,,
CR.2,SWE,2015,97.89,,
CR.2,SWE,2016,97.50999999999999,,
CR.2,SWE,2017,97.96000000000001,,
CR.2,SWE,2018,97.41,,
CR.2,SWE,2019,96.86,,
CR.2,SWE,2020,97.26,,
CR.2,SWE,2021,98.79,,
CR.2,UKR,2005,98.72999999999999,,
CR.2,UKR,2007,98.74566650390625,,
CR.2,UKR,2013,99.45947265625,,
