cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,1.0912099,0.7180754,0.5999938,3,28
BE,10,1.0594689,0.7180754,0.8407555,6,666
BE,10,1.0594689,0.7180754,0.677903,6,38
BE,10,1.0912099,0.7180754,0.5278605,7,19
BE,10,1.0476425,0.7180754,0.5905259,4,50
BE,10,0.9137402,0.7180754,0.4256368,6,43
BE,10,1.0594689,0.7180754,0.83372027,7,34
BE,10,0.9137402,0.7180754,0.4256368,6,666
BE,10,1.0594689,0.7180754,0.677903,6,28
BE,10,0.90990996,0.7180754,0.4228634,6,30
BE,10,0.8949869,0.7180754,0.49667278,3,38
BE,10,1.0466028,0.7180754,0.39059186,3,0
BE,10,1.0476425,0.7180754,0.7392735,4,38
BE,10,1.0594689,0.7180754,0.6797546,6,30
BE,10,1.0300072,0.7180754,1.3734916,6,666
BE,10,0.90990996,0.7180754,0.55421567,6,40
BE,10,1.0793686,0.7180754,1.2206467,6,30
BE,10,0.91730326,0.7180754,0.75031215,7,20
BE,10,1.0594689,0.7180754,0.6797546,5,50
BE,10,1.0339676,0.7180754,0.6219464,5,40
BE,10,0.9176301,0.7180754,0.693663,2,2
BE,10,1.0912099,0.7180754,0.59924656,7,666
BE,10,0.90351087,0.7180754,0.89806545,3,0
BE,10,1.0793686,0.7180754,1.7477539,6,666
BE,10,0.8965803,0.7180754,0.6327142,7,40
BE,10,1.0793686,0.7180754,1.6444165,7,666
BE,10,1.0594689,0.7180754,0.43779206,7,90
BE,10,1.0594689,0.7180754,0.6854906,6,47
BE,10,0.90134495,0.7180754,0.3632794,6,38
BE,10,1.06315,0.7180754,0.36276987,6,45
BE,10,1.0466028,0.7180754,0.39059186,4,45
BE,10,0.915067,0.7180754,0.70217955,6,666
BE,10,1.0793686,0.7180754,1.2973539,6,38
BE,10,0.91730326,0.7180754,0.41279885,7,20
BE,10,0.88222027,0.7180754,0.5132692,6,45
BE,10,1.0476425,0.7180754,0.54987174,2,28
BE,10,1.0300072,0.7180754,0.74068534,6,40
BE,10,1.0476425,0.7180754,0.65457416,6,50
BE,10,1.0912099,0.7180754,0.519376,7,666
BE,10,1.0339676,0.7180754,0.8782517,7,40
BE,10,1.0912099,0.7180754,1.188325,6,28
BE,10,1.0877413,0.7180754,0.9879574,6,55
BE,10,1.0466028,0.7180754,1.3372797,5,40
BE,10,1.0476425,0.7180754,0.54987174,7,16
BE,10,1.0877413,0.7180754,0.48949835,5,7
BE,10,0.9081813,0.7180754,1.0700715,7,0
BE,10,0.90990996,0.7180754,0.7220717,6,30
BE,10,0.9189426,0.7180754,0.5550366,4,32
BE,10,1.0877413,0.7180754,0.48692375,6,35
BE,10,0.9176301,0.7180754,0.49231339,1,38
BE,10,0.90351087,0.7180754,0.7344736,5,33
