essround,cntry,tvtot,sclmeet,wkhtot,dweight,pweight
3,AT,2,5,45,1.2429,0.28911608
3,AT,7,7,42,0.4143,0.28911608
3,AT,7,5,39,0.8286,0.28911608
3,AT,7,6,22,0.8286,0.28911608
3,AT,3,7,60,1.2429,0.28911608
3,AT,1,7,25,0.8286,0.28911608
3,AT,4,7,45,0.8286,0.28911608
3,AT,0,5,30,0.4143,0.28911608
3,AT,5,4,60,0.4143,0.28911608
3,AT,2,7,40,1.6572,0.28911608
3,AT,4,6,888,1.6572,0.28911608
3,AT,5,6,888,1.6572,0.28911608
3,AT,2,3,20,1.6572,0.28911608
3,AT,3,6,50,1.6572,0.28911608
3,AT,7,4,65,0.8286,0.28911608
3,AT,5,6,8,1.6572,0.28911608
3,AT,4,4,40,0.4143,0.28911608
3,AT,6,7,45,0.8286,0.28911608
3,AT,6,4,42,0.8286,0.28911608
3,AT,6,4,25,0.8286,0.28911608
3,AT,5,6,666,1.6572,0.28911608
3,AT,4,6,45,0.8286,0.28911608
3,AT,0,5,40,1.2429,0.28911608
3,AT,3,4,39,1.6572,0.28911608
3,AT,3,5,44,0.8286,0.28911608
3,AT,5,6,43,0.8286,0.28911608
3,AT,1,5,40,0.8286,0.28911608
3,AT,2,5,45,0.8286,0.28911608
3,AT,4,4,30,0.8286,0.28911608
3,AT,3,3,666,0.8286,0.28911608
3,AT,1,5,4,1.2429,0.28911608
3,AT,7,4,60,0.8286,0.28911608
3,AT,7,3,888,0.8286,0.28911608
3,AT,5,5,40,1.2429,0.28911608
3,AT,5,5,3,0.4143,0.28911608
3,AT,5,5,44,1.6572,0.28911608
3,AT,7,4,42,0.8286,0.28911608
3,AT,5,3,6,1.2429,0.28911608
3,AT,4,7,40,0.4143,0.28911608
3,AT,5,7,40,0.4143,0.28911608
3,AT,5,6,40,0.8286,0.28911608
3,AT,0,6,30,0.8286,0.28911608
3,AT,3,6,27,1.6572,0.28911608
3,AT,3,6,40,2.0715,0.28911608
3,AT,7,4,40,0.8286,0.28911608
3,AT,88,88,35,1.6572,0.28911608
3,AT,3,6,39,2.9001,0.28911608
3,AT,3,6,888,1.6572,0.28911608
3,AT,6,4,40,0.8286,0.28911608
3,AT,5,2,42,1.2429,0.28911608
3,AT,6,4,40,0.8286,0.28911608
3,AT,7,6,40,0.8286,0.28911608
3,AT,5,4,40,0.4143,0.28911608
3,AT,4,4,50,0.4143,0.28911608
3,AT,6,4,60,0.4143,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,6,6,40,0.4143,0.28911608
3,AT,3,5,60,0.4143,0.28911608
3,AT,3,5,28,0.8286,0.28911608
3,AT,4,5,50,0.8286,0.28911608
3,AT,6,5,38,0.8286,0.28911608
3,AT,5,1,888,0.4143,0.28911608
3,AT,7,4,777,0.8286,0.28911608
3,AT,7,1,25,0.4143,0.28911608
3,AT,3,6,40,0.8286,0.28911608
3,AT,7,6,41,0.8286,0.28911608
3,AT,0,1,888,0.4143,0.28911608
3,AT,0,2,90,0.8286,0.28911608
3,AT,2,4,50,0.4143,0.28911608
3,AT,2,4,28,0.4143,0.28911608
3,AT,5,4,50,1.2429,0.28911608
3,AT,5,6,666,0.8286,0.28911608
3,AT,3,6,50,0.4143,0.28911608
3,AT,7,4,40,0.8286,0.28911608
3,AT,7,1,45,0.4143,0.28911608
3,AT,7,6,50,2.0715,0.28911608
3,AT,4,7,666,1.6572,0.28911608
3,AT,3,5,45,0.4143,0.28911608
3,AT,5,6,666,1.2429,0.28911608
3,AT,3,6,12,0.4143,0.28911608
3,AT,4,5,40,0.8286,0.28911608
3,AT,1,6,0,0.8286,0.28911608
3,AT,2,6,40,0.8286,0.28911608
3,AT,3,3,666,1.6572,0.28911608
3,AT,7,6,23,1.2429,0.28911608
3,AT,5,7,40,1.2429,0.28911608
3,AT,7,6,777,1.6572,0.28911608
3,AT,7,4,40,0.8286,0.28911608
