essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
8,AT,0.47394663,0.3703929,0.60213953,6,38
8,AT,1.8136504,0.3703929,0.43445793,6,25
8,AT,0.6480055,0.3703929,0.1563341,7,40
8,AT,1.1805792,0.3703929,0.72946733,6,40
8,AT,0.40511516,0.3703929,0.23257075,5,40
8,AT,0.4319033,0.3703929,0.1052901,7,15
8,AT,0.46958333,0.3703929,0.17741905,6,40
8,AT,1.5463103,0.3703929,0.3769618,6,45
8,AT,0.42369866,0.3703929,0.09892979,6,45
8,AT,1.9836578,0.3703929,1.0585169,5,36
8,AT,0.58574146,0.3703929,0.122665316,5,39
8,AT,0.8669471,0.3703929,0.24337295,6,48
8,AT,1.2960111,0.3703929,0.32836097,6,39
8,AT,1.0234798,0.3703929,0.32163045,5,40
8,AT,0.88929296,0.3703929,0.22531387,6,72
8,AT,1.7669992,0.3703929,0.9429033,3,20
8,AT,0.893642,0.3703929,0.25705606,3,48
8,AT,0.77957696,0.3703929,0.52130055,4,20
8,AT,2.3568597,0.3703929,0.6418472,6,41
8,AT,2.049286,0.3703929,1.3703507,4,50
8,AT,0.889293,0.3703929,0.18307726,6,30
8,AT,0.5143496,0.3703929,0.25732064,2,55
8,AT,1.0308735,0.3703929,0.33657244,7,777
8,AT,1.3907148,0.3703929,0.26371706,5,42
8,AT,1.2026939,0.3703929,0.29158545,6,40
8,AT,1.157616,0.3703929,0.82610065,5,40
8,AT,1.0733081,0.3703929,0.2734372,3,50
8,AT,0.446821,0.3703929,0.12789756,7,40
8,AT,0.4739466,0.3703929,0.15229677,6,40
8,AT,1.1784298,0.3703929,0.28587037,6,40
8,AT,0.82635325,0.3703929,0.20184064,4,25
8,AT,1.157616,0.3703929,0.23963167,5,40
8,AT,0.51543677,0.3703929,0.3678273,6,11
8,AT,0.4076942,0.3703929,0.20114371,6,40
8,AT,1.3466289,0.3703929,0.28666902,5,42
8,AT,0.7795769,0.3703929,0.49356306,4,22
8,AT,1.028699,0.3703929,0.24642369,2,50
8,AT,0.53039503,0.3703929,0.3169354,6,50
8,AT,0.62280774,0.3703929,0.17915055,4,40
8,AT,1.3907149,0.3703929,0.35493279,6,10
8,AT,1.8460933,0.3703929,0.2987228,4,28
8,AT,0.39016873,0.3703929,0.1323424,3,50
8,AT,1.7955052,0.3703929,0.4582418,6,42
8,AT,1.1805793,0.3703929,0.40044367,6,70
8,AT,1.7364239,0.3703929,0.56692904,5,41
8,AT,0.9918289,0.3703929,0.29185846,4,20
8,AT,0.44887632,0.3703929,0.15169223,7,40
8,AT,0.8473973,0.3703929,0.3768079,7,25
8,AT,0.78033745,0.3703929,0.4757493,6,26
8,AT,0.46289894,0.3703929,0.16876517,3,44
8,AT,1.7849587,0.3703929,0.89203596,6,40
8,AT,1.3404629,0.3703929,0.4307406,5,55
8,AT,0.39016873,0.3703929,0.1323424,6,40
8,AT,0.5087625,0.3703929,0.16610709,6,50
8,AT,0.9349018,0.3703929,0.22554912,2,60
8,AT,0.5705236,0.3703929,0.17238021,4,60
8,AT,1.0696479,0.3703929,0.61406934,5,40
8,AT,1.0820249,0.3703929,0.35133398,6,4
8,AT,0.6480055,0.3703929,0.1563341,6,45
8,AT,0.89775264,0.3703929,0.17878243,4,20
