STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,acl00,Classification of activities for time use,quant_inc,Income quantile,deg_urb,Degree of urbanisation,hhcomp,Household composition,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2022,,7.5,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2015,,36.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2022,,24.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2015,,7.3,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LV,Latvia,2022,,6.1,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2015,,8.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,MT,Malta,2022,,8.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2015,,40.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,NL,Netherlands,2022,,35.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2015,,48.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,NO,Norway,2022,,50.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2015,,13.8,,u,low reliability,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,PL,Poland,2022,,7.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2015,,9.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,PT,Portugal,2022,,7.3,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2015,,3.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,RO,Romania,2022,,3.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2015,,5.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,RS,Serbia,2022,,2.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2015,,35.1,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,SE,Sweden,2022,,21.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,SI,Slovenia,2015,,30.4,,,,,
