essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
10,AT,2.2803416,0.3817861,0.79933774,6,8
10,AT,0.90981275,0.3817861,1.5271444,6,40
10,AT,2.2288978,0.3817861,1.5271443,2,80
10,AT,0.5996332,0.3817861,0.19040743,6,40
10,AT,1.198717,0.3817861,0.2016316,3,999
10,AT,0.90981275,0.3817861,0.72366285,6,40
10,AT,0.7496826,0.3817861,0.15121089,4,38
10,AT,1.168301,0.3817861,0.36989653,6,42
10,AT,0.5109151,0.3817861,0.09345966,6,10
10,AT,1.0441425,0.3817861,0.1531498,5,50
10,AT,0.4108098,0.3817861,0.08143981,6,41
10,AT,0.38005695,0.3817861,0.06392799,6,999
10,AT,0.9572266,0.3817861,0.27725002,4,43
10,AT,1.5169625,0.3817861,0.43937138,6,45
10,AT,1.0441425,0.3817861,0.16396512,5,50
10,AT,1.6771291,0.3817861,0.2253004,6,20
10,AT,1.5190064,0.3817861,1.5271169,5,20
10,AT,0.9618752,0.3817861,0.30543354,4,999
10,AT,0.6890103,0.3817861,0.53545016,6,10
10,AT,0.8084459,0.3817861,0.1359856,3,43
10,AT,1.013695,0.3817861,0.35005674,4,40
10,AT,1.0113083,0.3817861,0.29830092,5,39
10,AT,1.1041481,0.3817861,0.93797076,6,0
10,AT,2.0873919,0.3817861,0.381838,6,27
10,AT,0.7991447,0.3817861,0.12486496,4,16
10,AT,0.59415823,0.3817861,0.18811686,5,26
10,AT,0.89532566,0.3817861,0.15059932,2,53
10,AT,1.1755234,0.3817861,1.0015337,4,42
10,AT,0.9372276,0.3817861,0.27783877,5,10
10,AT,0.74853796,0.3817861,0.55611247,4,55
10,AT,0.9459853,0.3817861,0.30038777,5,999
10,AT,1.1742966,0.3817861,0.15775137,2,60
10,AT,0.9372276,0.3817861,0.297607,4,45
10,AT,0.7455467,0.3817861,0.11707572,5,999
10,AT,1.6562222,0.3817861,1.2870983,4,45
10,AT,2.4036357,0.3817861,0.6655506,5,44
10,AT,0.4552817,0.3817861,0.38789517,99,999
10,AT,1.1041481,0.3817861,0.93797076,6,53
10,AT,0.6692459,0.3817861,0.16972165,7,50
10,AT,1.089091,0.3817861,0.34582958,6,55
10,AT,0.79382676,0.3817861,0.10400132,4,48
10,AT,0.82205164,0.3817861,0.31301177,4,40
10,AT,0.7572235,0.3817861,0.6432591,5,999
10,AT,0.97702754,0.3817861,0.2896373,6,60
10,AT,1.0883634,0.3817861,0.14620744,2,45
10,AT,0.49412063,0.3817861,0.1457484,4,40
10,AT,1.0393327,0.3817861,0.6896996,6,40
10,AT,1.1917695,0.3817861,0.34518293,5,20
10,AT,1.0113083,0.3817861,0.29830092,5,27
10,AT,0.8328948,0.3817861,0.16511475,6,55
10,AT,0.79382676,0.3817861,0.10664033,4,30
10,AT,1.0769278,0.3817861,0.27311027,2,8
10,AT,0.98824126,0.3817861,0.3128877,3,42
10,AT,1.2147595,0.3817861,0.46354,6,55
10,AT,0.7824281,0.3817861,0.13122422,2,39
10,AT,0.9193351,0.3817861,0.26627526,5,45
10,AT,0.9618752,0.3817861,1.1515946,5,999
10,AT,0.82100284,0.3817861,0.13809773,99,999
10,AT,0.9193351,0.3817861,1.1006643,6,20
10,AT,1.089091,0.3817861,0.32285824,3,168
10,AT,1.5826889,0.3817861,0.50109625,2,40
10,AT,0.75320405,0.3817861,0.10118321,6,25
10,AT,0.6093921,0.3817861,0.23203771,3,25
10,AT,0.79382676,0.3817861,0.1452114,6,45
10,AT,0.8385646,0.3817861,0.13168259,6,28
10,AT,0.79188985,0.3817861,0.21926917,4,45
10,AT,0.5442396,0.3817861,0.42294455,4,70
10,AT,0.4674176,0.3817861,0.14798938,4,999
10,AT,0.7572235,0.3817861,0.6432591,3,999
10,AT,1.0113083,0.3817861,0.29830092,6,48
10,AT,1.4534193,0.3817861,0.35946766,6,34
10,AT,1.1742966,0.3817861,0.18440375,6,40
10,AT,1.1742966,0.3817861,0.19752404,4,45
10,AT,2.6112077,0.3817861,0.66220564,7,40
10,AT,0.7262741,0.3817861,0.113479085,4,50
10,AT,0.9618752,0.3817861,0.30454,4,40
10,AT,0.7555606,0.3817861,0.3678118,5,40
10,AT,0.38005695,0.3817861,0.051055714,6,30
10,AT,0.8349567,0.3817861,0.16841073,6,25
10,AT,0.9348352,0.3817861,0.32282418,6,30
10,AT,1.3626901,0.3817861,0.22854233,4,45
10,AT,0.528447,0.3817861,0.16731189,3,42
10,AT,0.38005695,0.3817861,0.12635545,5,999
10,AT,0.5381898,0.3817861,0.084513746,6,40
10,AT,1.168301,0.3817861,0.3709821,5,37
10,AT,0.9084601,0.3817861,0.13324851,6,30
10,AT,1.3637996,0.3817861,0.39500946,7,60
10,AT,1.3790027,0.3817861,0.51607955,6,8
10,AT,2.2666814,0.3817861,0.35416505,4,40
10,AT,1.0441425,0.3817861,0.17511743,4,45
10,AT,1.2606803,0.3817861,0.21205446,2,43
10,AT,1.4936283,0.3817861,0.20064954,5,40
10,AT,1.2635202,0.3817861,0.9819189,4,39
10,AT,0.59588474,0.3817861,0.18866357,6,8
10,AT,3.5842912,0.3817861,0.90898097,5,40
10,AT,1.2578468,0.3817861,0.2537075,4,20
10,AT,0.9372276,0.3817861,0.27145752,4,999
10,AT,0.37277335,0.3817861,0.07518836,5,43
10,AT,0.5068475,0.3817861,0.6068175,6,38
10,AT,0.528447,0.3817861,0.1824873,6,50
10,AT,2.0786655,0.3817861,1.5271215,3,20
10,AT,1.2252797,0.3817861,0.19240965,6,50
10,AT,1.0763797,0.3817861,0.16902749,4,65
10,AT,0.7555606,0.3817861,0.25119722,3,999
10,AT,2.2356162,0.3817861,0.30032578,6,999
10,AT,0.89532566,0.3817861,0.11729892,5,24
10,AT,1.5202278,0.3817861,0.2375329,4,48
10,AT,0.4552817,0.3817861,0.3097903,4,27
10,AT,1.056894,0.3817861,0.3649746,4,45
10,AT,0.50565416,0.3817861,0.4646926,6,999
10,AT,0.7555606,0.3817861,0.101499766,3,22
10,AT,0.5863052,0.3817861,0.39894354,6,14
10,AT,0.66631395,0.3817861,0.111750275,3,999
10,AT,0.5445455,0.3817861,0.17291479,3,40
10,AT,0.5113075,0.3817861,0.19469005,5,8
10,AT,0.7262741,0.3817861,0.09515105,6,40
10,AT,0.9193351,0.3817861,0.34405315,6,40
10,AT,1.030716,0.3817861,1.5271444,7,999
10,AT,1.3056039,0.3817861,0.4145813,6,45
10,AT,0.9054247,0.3817861,0.15229812,6,999
10,AT,0.41256487,0.3817861,0.08321432,6,20
10,AT,1.6771291,0.3817861,0.2253004,5,35
10,AT,0.65280193,0.3817861,0.7815604,5,3
10,AT,1.3647192,0.3817861,0.90562516,6,999
10,AT,0.49412063,0.3817861,0.18814588,4,44
10,AT,1.046881,0.3817861,0.2075358,6,8
10,AT,0.84995234,0.3817861,0.7875212,4,50
10,AT,1.0448359,0.3817861,0.39784133,3,30
10,AT,0.8197011,0.3817861,0.5439521,6,15
10,AT,0.9986648,0.3817861,0.27652362,3,28
10,AT,1.1755234,0.3817861,1.180373,2,8
10,AT,1.4241234,0.3817861,1.5271169,6,999
10,AT,1.056894,0.3817861,0.3649746,6,40
10,AT,0.9755621,0.3817861,0.30887341,6,44
10,AT,1.0900645,0.3817861,0.34613898,5,45
10,AT,1.1917695,0.3817861,0.34518293,4,999
10,AT,0.72670966,0.3817861,0.2767085,3,43
10,AT,1.1245239,0.3817861,0.22292796,4,40
10,AT,0.9348352,0.3817861,0.23707548,3,26
10,AT,0.4993324,0.3817861,0.17243323,4,40
10,AT,1.0883634,0.3817861,0.2195228,4,40
10,AT,0.37426898,0.3817861,0.38236806,4,999
10,AT,0.98824126,0.3817861,0.24441728,6,22
10,AT,1.5662137,0.3817861,1.2722325,6,999
10,AT,0.84631556,0.3817861,0.28137007,4,40
10,AT,0.527563,0.3817861,0.20087965,3,999
10,AT,1.2018179,0.3817861,0.30478254,4,35
10,AT,0.9755621,0.3817861,0.2825607,4,40
10,AT,0.45966756,0.3817861,0.17502718,4,40
10,AT,0.6235955,0.3817861,0.53129715,6,40
10,AT,0.7601139,0.3817861,0.10211143,4,35
10,AT,1.0883634,0.3817861,0.36184242,6,40
10,AT,1.6325451,0.3817861,0.3292841,3,40
10,AT,0.3748413,0.3817861,0.05035502,6,39
10,AT,1.0240833,0.3817861,0.32423583,3,54
10,AT,1.4823618,0.3817861,0.375929,2,999
10,AT,0.7555606,0.3817861,0.11864818,6,32
10,AT,0.89729786,0.3817861,0.6105544,4,30
10,AT,0.48143396,0.3817861,0.080743246,4,30
10,AT,1.0240833,0.3817861,0.32423583,5,48
10,AT,0.4192823,0.3817861,0.0563251,6,20
10,AT,2.496662,0.3817861,0.9506519,5,999
10,AT,1.2288905,0.3817861,0.42436966,6,26
10,AT,0.9970505,0.3817861,0.3804644,2,20
10,AT,0.84602106,0.3817861,1.4246851,4,999
10,AT,1.3056039,0.3817861,0.49820492,6,52
10,AT,1.2288905,0.3817861,0.45990145,6,20
10,AT,0.40422294,0.3817861,0.067793876,6,50
10,AT,1.2868482,0.3817861,0.26011667,6,50
10,AT,1.2749285,0.3817861,0.84604055,4,38
10,AT,0.6692459,0.3817861,0.18530977,6,60
10,AT,0.9403051,0.3817861,0.23846261,5,50
10,AT,1.5347388,0.3817861,0.45496938,5,0
10,AT,0.89532566,0.3817861,0.1373669,4,40
